,Frase,Cantidad
0,"('battery', 'life')",76
1,"('chrome', 'os')",63
2,"('ca', ""n't"")",49
3,"('more', 'than')",42
4,"('toshiba', 'chromebook')",39
5,"(""'s"", 'not')",38
6,"('gb', 'ram')",35
7,"('hard', 'drive')",31
8,"('acer', 'c')",30
9,"('touch', 'screen')",29
10,"('better', 'than')",28
11,"('click', 'on')",25
12,"('full', 'hd')",23
13,"('there', ""'s"")",23
14,"('usb', 'ports')",21
15,"('so', 'far')",21
16,"('mechanical', 'keyboard')",21
17,"('sd', 'card')",20
18,"('ips', 'display')",19
19,"('new', 'toshiba')",19
20,"('there', 'no')",19
21,"('viewing', 'angles')",19
22,"('wo', ""n't"")",19
23,"('all', 'chromebooks')",19
24,"('may', 'not')",19
25,"(""'m"", 'not')",19
26,"('very', 'good')",18
27,"('macbook', 'air')",18
28,"('cherry', 'mx')",18
29,"('pretty', 'much')",17
30,"('google', 'chromebook')",17
31,"('on', 'screen')",17
32,"('on', 'amazon')",17
33,"('same', 'time')",17
34,"('tablet', 'mode')",17
35,"('other', 'chromebooks')",16
36,"('on', 'new')",16
37,"('in', 'all')",16
38,"(""n't"", 'really')",16
39,"('will', 'not')",16
40,"('in', 'terms')",16
41,"('first', 'gen')",16
42,"('on', 'laptop')",16
43,"('not', 'so')",16
44,"('not', 'sure')",16
45,"('on', 'bottom')",15
46,"('out', 'there')",15
47,"('gb', 'ssd')",15
48,"(""'s"", 'just')",15
49,"('chromebook', 'flip')",15
50,"('works', 'great')",15
51,"('track', 'pad')",15
52,"('than', 'original')",14
53,"('original', 'toshiba')",14
54,"('c', 'gb')",14
55,"('very', 'well')",14
56,"('just', 'like')",14
57,"('very', 'nice')",14
58,"('update', 'review')",14
59,"('right', 'now')",14
60,"('less', 'than')",14
61,"('so', 'much')",14
62,"('in', 'opinion')",14
63,"('would', 'recommend')",14
64,"('much', 'more')",13
65,"('much', 'better')",13
66,"('bit', 'more')",13
67,"('build', 'quality')",13
68,"('price', 'point')",13
69,"('in', 'laptop')",13
70,"('microsoft', 'office')",13
71,"('plugged', 'in')",12
72,"('based', 'on')",12
73,"('beta', 'channel')",12
74,"('just', 'fine')",12
75,"('not', 'too')",12
76,"('on', 'chromebook')",12
77,"('all', 'way')",12
78,"('think', ""'s"")",12
79,"('not', 'much')",12
80,"('macbook', 'pro')",12
81,"('typing', 'on')",12
82,"('surface', 'pro')",12
83,"('there', 'also')",11
84,"('backlit', 'keyboard')",11
85,"(""n't"", 'like')",11
86,"('on', 'desktop')",11
87,"('even', 'though')",11
88,"('few', 'days')",11
89,"('on', 'keyboard')",11
90,"('works', 'well')",11
91,"('asus', 'c')",11
92,"('will', 'update')",11
93,"('so', ""n't"")",11
94,"('asus', 'chromebook')",11
95,"('not', 'bad')",11
96,"('doesn', 't')",11
97,"(""n't"", 'get')",11
98,"('out', 'box')",11
99,"('make', 'sure')",11
